question_id,question_text,decomposition
IMDB_train_111,"How many companies participated in producing "" Camp X-Ray ""	",return Camp X-Ray; return companies producing #1; return number of #2
IMDB_train_112,"How many actors from China have acted in "" Rush Hour 3 ""	",return Rush Hour 3; return actors of #1; return #2 from China; return number of #3
IMDB_train_113,"Find the number of companies which worked with "" Gabriele Ferzetti ""	",return Gabriele Ferzetti; return companies that worked with #1; return number of #2
IMDB_train_114,"Find all movies that star both "" Angelina Jolie "" and "" Brad Pitt ""	",return Angelina Jolie; return movies of #1; return Brad Pitt; return movies of #3; return movies in both #2 and #4
IMDB_train_115,"Find all actors who acted in the same movie as "" Tom Hanks ""	",return movies; return #1 that Tom Hanks acted in; return actors of #2
IMDB_train_116,"What movies have the same director as the movie "" Revolutionary Road "" ?	",return the movie Revolutionary Road; return director of #1; return movies of #2
IMDB_train_117,"Find all movies featuring "" Benedict Cumberbatch "" and "" Keira Knightley ""	",return Benedict Cumberbatch; return movies of #1; return Keira Knightley; return movies of #3; return movies in both #2 and #4
IMDB_train_118,"Find all movies featuring both "" Matt Damon "" and "" Ben Affleck ""	",return Matt Damon; return movies of #1; return Ben Affleck; return movies of #3; return movies in both #2 and #4
IMDB_train_119,"What is the maximum number of movies in which "" Brad Pitt "" act in a given year ?	",return Bradd Pitt; return movies of #1; return years of #2; return number of #2 for each #3; return highest of #4
IMDB_train_120,"Find the actor with most number of films	",return actors; return films of #1; return number of #2 for each #1; return #1 where #3 is highest
IMDB_train_121,"Who acted in the most number of movies directed by "" Jim Jarmusch ""	",return movies; return #1 directed by Jim Jarmusch; return who acted in #2; return number of #2 for each #3; return #3 where #4 is highest
IMDB_train_122,"Find the movie which is classified in the most number of genres	",return movies; return genres of #1; return the number of #2 for each #1; return #1 where #3 is highest
IMDB_train_123,"which movie has the most number of actors from China ?	",return actors; return #1 from China; return movies of #2; return the number of #2 for each #3; return #3 where #4 is highest
IMDB_train_124,"Find the actors who played in the latest movie by "" Quentin Tarantino ""	",return movies; return #1 by Quentin Tarantino; return #2 that is latest; return actors of #3
IMDB_train_125,"Find the name and budget of the latest movie by "" Quentin Tarantino ""	","return movies; return #1 by Quentin Tarantino; return #2 that is latest; return name of #3; return budget of #3; return #4 , #5"
IMDB_train_126,"Find all movies featuring "" Jason Robards "" and "" Woody Strode ""	",return Jason Robards; return movies of #1; return Woody Strode; return movies of #3; return movies in both #2 and #4
IMDB_train_127,"Who is directed the latest movie by "" NBCUniversal ""	",return NBCUniversal; return movies of #1; return #2 that is latest; return Who directed #3
IMDB_train_128,"What is the latest movie by "" Jim Jarmusch ""	",return movies; return #1 by Jim Jarmusch; return #2 that is latest
IMDB_train_129,"Which producer has worked with the most number of directors ?	",return directors; return producers that worked with #1; return the number of #1 for each #2; return #2 where #3 is highest
IMDB_train_130,"Find the latest movie which "" Gabriele Ferzetti "" acted in	",return movies; return #1 that Gabriele Ferzetti acted in; return #2 that is latest
